feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Clostridioides_difficile	group_stringent	CDI	2.26101577757126	0.346473008881034	149	73	1.38137026641374e-09	1.42281137440616e-07
Anaerostipes_hadrus	group_stringent	CDI	-1.02385155550177	0.27486362995769	149	22	0.000293625727697451	0.0133329786723847
Blautia_wexlerae	group_stringent	CDI	-1.56434022814953	0.430404722506842	149	52	0.000388339184632563	0.0133329786723847
Veillonella_parvula	group_stringent	CDI	1.46545229851113	0.416760466028233	149	44	0.000621072929765251	0.0159926279414552
Anaerobutyricum_hallii	group_stringent	CDI	-0.726166236101234	0.250917856841094	149	23	0.00441472301809351	0.0909432941727263
Dorea_longicatena	group_stringent	CDI	-0.666649492649067	0.238406403564304	149	18	0.00593774007097177	0.0930789662372122
Eubacterium_rectale	group_stringent	CDI	-0.66414729680279	0.2396671842718	149	17	0.006325754986995	0.0930789662372122
Longicatena_caecimuris	group_stringent	CDI	-0.75582302828402	0.292377097584874	149	23	0.0108148175762435	0.139240776294135
Blautia_hydrogenotrophica	group_stringent	CDI	-0.359157791257726	0.143524404281339	149	18	0.0134631454921643	0.149618572245393
Evtepia_gabavorous	group_stringent	CDI	-0.427132561388859	0.175146952582865	149	25	0.015978682472809	0.149618572245393
GGB9512_SGB14909	group_stringent	CDI	-0.418919936203807	0.170430152948435	149	15	0.0152231359002984	0.149618572245393
Blautia_faecis	group_stringent	CDI	-0.651757630533034	0.282410713226857	149	31	0.0224966876693473	0.193096569161897
Akkermansia_muciniphila	group_stringent	CDI	-1.09713207522316	0.486330261709049	149	29	0.0257285035573625	0.203848912800641
Blautia_caecimuris	group_stringent	CDI	-0.86421606173194	0.395947575672177	149	42	0.0307099781829957	0.219583107284301
Hungatella_hathewayi	group_stringent	CDI	0.796275987102108	0.367260179367375	149	63	0.0319781224200438	0.219583107284301
